Transaction_ID,Medicine_ID,Supplier_ID,Warehouse_ID,Stock_Quantity,Reorder_Level,Purchase_Price,Selling_Price,Manufacturing_Date,Expiry_Date,Days_To_Expire,Expiry_Status,Medicine_Name,Category_ID,Supplier_Name,Category_Name,Warehouse_Name
1,M002,S015,3,252,161,55,37,2025-05-17 06:15:26.899,2026-08-02 06:15:26.899,83,Safe,Aspirin,2.0,PharmaCare,Antibiotic,Mumbai
2,M003,S004,3,488,195,48,115,2023-11-20 06:15:26.899,2025-08-18 06:15:26.899,-266,Expired,Aspirin,2.0,CureWell,Antibiotic,Mumbai
3,M020,S008,1,462,136,38,108,2024-04-12 06:15:26.899,2026-07-03 06:15:26.899,53,Safe,Vitamin C,2.0,PharmaCare,Antibiotic,Nagpur
4,M036,S013,2,429,75,79,85,2024-05-12 06:15:26.900,2026-12-21 06:15:26.900,224,Safe,Paracetamol,2.0,HealthPlus,Antibiotic,Pune
5,M002,S016,4,103,152,35,57,2025-08-28 06:15:26.900,2028-02-22 06:15:26.900,652,Safe,Aspirin,2.0,HealthPlus,Antibiotic,Delhi
6,M043,S011,1,307,161,68,133,2023-11-15 06:15:26.900,2026-01-20 06:15:26.900,-111,Expired,Aspirin,1.0,PharmaCare,Painkiller,Nagpur
7,M019,S020,1,223,145,14,134,2024-10-22 06:15:26.900,2027-03-05 06:15:26.900,298,Safe,Paracetamol,3.0,HealthPlus,Vitamin,Nagpur
8,M022,S011,2,476,54,79,111,2025-08-23 06:15:26.900,2027-12-21 06:15:26.900,589,Safe,Amoxicillin,1.0,PharmaCare,Painkiller,Pune
9,M044,S017,4,121,105,90,38,2026-01-01 06:15:26.900,2027-03-18 06:15:26.900,311,Safe,Aspirin,3.0,HealthPlus,Vitamin,Delhi
10,M015,S018,1,361,57,88,47,2025-09-18 06:15:26.900,2028-05-03 06:15:26.900,723,Safe,Amoxicillin,2.0,PharmaCare,Antibiotic,Nagpur
11,M014,S002,3,336,100,38,150,2025-11-04 06:15:26.900,2027-09-29 06:15:26.900,506,Safe,Ibuprofen,2.0,HealthPlus,Antibiotic,Mumbai
12,M029,S016,3,260,94,71,62,2026-01-05 06:15:26.900,2027-11-13 06:15:26.900,551,Safe,Paracetamol,2.0,HealthPlus,Antibiotic,Mumbai
13,M038,S012,3,377,114,59,43,2025-07-24 06:15:26.900,2027-05-25 06:15:26.900,379,Safe,Ibuprofen,1.0,CureWell,Painkiller,Mumbai
14,M003,S017,4,299,138,16,129,2025-08-27 06:15:26.900,2026-10-14 06:15:26.900,156,Safe,Aspirin,2.0,HealthPlus,Antibiotic,Delhi
15,M032,S001,2,440,148,39,83,2025-05-13 06:15:26.900,2027-11-07 06:15:26.900,545,Safe,Amoxicillin,3.0,PharmaCare,Vitamin,Pune
16,M019,S009,1,198,186,51,136,2025-06-06 06:15:26.900,2026-06-28 06:15:26.900,48,Safe,Paracetamol,3.0,PharmaCare,Vitamin,Nagpur
17,M004,S016,4,408,192,19,140,2025-01-25 06:15:26.900,2027-04-20 06:15:26.900,344,Safe,Vitamin C,1.0,HealthPlus,Painkiller,Delhi
18,M044,S013,3,27,50,95,50,2024-03-15 06:15:26.901,2025-11-14 06:15:26.901,-178,Expired,Aspirin,3.0,HealthPlus,Vitamin,Mumbai
19,M038,S001,1,208,197,24,69,2024-07-20 06:15:26.901,2025-12-31 06:15:26.901,-131,Expired,Ibuprofen,1.0,PharmaCare,Painkiller,Nagpur
20,M004,S008,2,220,94,11,133,2025-02-24 06:15:26.901,2025-12-20 06:15:26.901,-142,Expired,Vitamin C,1.0,PharmaCare,Painkiller,Pune
21,M001,S004,3,186,139,42,150,2025-10-01 06:15:26.901,2026-09-05 06:15:26.901,117,Safe,Amoxicillin,2.0,CureWell,Antibiotic,Mumbai
22,M046,S020,4,485,135,58,110,2024-06-24 06:15:26.901,2026-06-10 06:15:26.901,30,Expiring Soon,Paracetamol,2.0,HealthPlus,Antibiotic,Delhi
23,M010,S009,1,262,129,52,64,2023-10-02 06:15:26.901,2024-08-19 06:15:26.901,-630,Expired,Paracetamol,2.0,PharmaCare,Antibiotic,Nagpur
24,M018,S019,4,380,195,15,97,2023-11-26 06:15:26.901,2025-09-28 06:15:26.901,-225,Expired,Paracetamol,3.0,MedLife,Vitamin,Delhi
25,M010,S008,2,182,56,46,109,2025-11-06 06:15:26.901,2028-02-05 06:15:26.901,635,Safe,Paracetamol,2.0,PharmaCare,Antibiotic,Pune
26,M019,S012,2,253,56,41,88,2023-12-19 06:15:26.901,2025-05-20 06:15:26.901,-356,Expired,Paracetamol,3.0,CureWell,Vitamin,Pune
27,M038,S013,3,44,187,61,127,2025-06-20 06:15:26.901,2026-07-25 06:15:26.901,75,Safe,Ibuprofen,1.0,HealthPlus,Painkiller,Mumbai
28,M018,S014,1,395,79,86,96,2025-09-10 06:15:26.901,2027-09-18 06:15:26.901,495,Safe,Paracetamol,3.0,MedLife,Vitamin,Nagpur
29,M026,S017,4,147,144,16,66,2024-03-14 06:15:26.901,2025-03-14 06:15:26.901,-423,Expired,Amoxicillin,1.0,HealthPlus,Painkiller,Delhi
30,M018,S005,4,490,123,26,46,2024-09-13 06:15:26.901,2026-07-04 06:15:26.901,54,Safe,Paracetamol,3.0,HealthPlus,Vitamin,Delhi
31,M005,S006,1,210,116,12,32,2024-02-14 06:15:26.901,2025-05-21 06:15:26.901,-355,Expired,Vitamin C,1.0,PharmaCare,Painkiller,Nagpur
32,M030,S007,4,230,154,67,30,2025-07-02 06:15:26.901,2027-10-18 06:15:26.901,525,Safe,Amoxicillin,2.0,CureWell,Antibiotic,Delhi
33,M023,S004,2,39,126,57,57,2024-05-02 06:15:26.901,2025-07-30 06:15:26.901,-285,Expired,Aspirin,1.0,CureWell,Painkiller,Pune
34,M049,S013,2,286,161,25,44,2024-03-30 06:15:26.901,2025-08-30 06:15:26.901,-254,Expired,Ibuprofen,2.0,HealthPlus,Antibiotic,Pune
35,M005,S018,4,173,110,89,123,2025-09-02 06:15:26.901,2027-08-25 06:15:26.901,471,Safe,Vitamin C,1.0,PharmaCare,Painkiller,Delhi
